,index,titles,urls,asin,asin_url
55,55,Destination CISSP: A Concise Guide,https://www.amazon.com/Destination-CISSP-Concise-Rob-Witcher-ebook/dp/B0BSZR1JH7/ref=sr_1_51?qid=1676964995&s=books&sr=1-51,B0BSZR1JH7,https://www.amazon.com/dp/B0BSZR1JH7/
56,56,Fundamentals of Software Architecture: An Engineering Approach,https://www.amazon.com/Fundamentals-Software-Architecture-Comprehensive-Characteristics/dp/1492043451/ref=sr_1_52?qid=1676964995&s=books&sr=1-52,1492043451,https://www.amazon.com/dp/1492043451/
57,57,"Princeton Review AP Computer Science Principles Prep, 2023: 3 Practice Tests + Complete Content Review + Strategies & Techniques (College Test Preparation)",https://www.amazon.com/Princeton-Review-Computer-Science-Principles/dp/0593450736/ref=sr_1_53?qid=1676964995&s=books&sr=1-53,0593450736,https://www.amazon.com/dp/0593450736/
58,58,Domain-Driven Design: Tackling Complexity in the Heart of Software,https://www.amazon.com/Domain-Driven-Design-Tackling-Complexity-Software/dp/0321125215/ref=sr_1_54?qid=1676964995&s=books&sr=1-54,0321125215,https://www.amazon.com/dp/0321125215/
59,59,Adobe Photoshop Classroom in a Book (2023 Release),https://www.amazon.com/Adobe-Photoshop-Classroom-Book-Release/dp/0137965893/ref=sr_1_55?qid=1676964995&s=books&sr=1-55,0137965893,https://www.amazon.com/dp/0137965893/
60,60,Electronic Music and Sound Design - Theory and Practice with Max 8 - volume 3,https://www.amazon.com/Electronic-Music-Sound-Design-Practice/dp/8899212244/ref=sr_1_56?qid=1676964995&s=books&sr=1-56,8899212244,https://www.amazon.com/dp/8899212244/
61,61,Grokking Algorithms: An Illustrated Guide for Programmers and Other Curious People,https://www.amazon.com/Grokking-Algorithms-illustrated-programmers-curious/dp/1617292230/ref=sr_1_57?qid=1676964995&s=books&sr=1-57,1617292230,https://www.amazon.com/dp/1617292230/
62,62,"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data",https://www.amazon.com/Data-Science-Transform-Visualize-Model/dp/1491910399/ref=sr_1_58?qid=1676964995&s=books&sr=1-58,1491910399,https://www.amazon.com/dp/1491910399/
63,63,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",https://www.amazon.com/Hands-Machine-Learning-Scikit-Learn-TensorFlow/dp/1492032646/ref=sr_1_59?qid=1676964995&s=books&sr=1-59,1492032646,https://www.amazon.com/dp/1492032646/
64,64,"Superintelligence: Paths, Dangers, Strategies",https://www.amazon.com/Superintelligence-Nick-Bostrom-audiobook/dp/B00LPMFE9Y/ref=sr_1_65?qid=1676965004&s=books&sr=1-65,B00LPMFE9Y,https://www.amazon.com/dp/B00LPMFE9Y/
65,65,An Elegant Puzzle: Systems of Engineering Management,https://www.amazon.com/Elegant-Puzzle-Systems-Engineering-Management/dp/1732265186/ref=sr_1_66?qid=1676965004&s=books&sr=1-66,1732265186,https://www.amazon.com/dp/1732265186/
66,66,CompTIA A+ Complete Certification Kit: Exam 220-1101 and Exam 220-1102,https://www.amazon.com/CompTIA-Complete-Certification-Kit-220-1101/dp/1119863228/ref=sr_1_67?qid=1676965004&s=books&sr=1-67,1119863228,https://www.amazon.com/dp/1119863228/
67,67,"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition (Springer Series in Statistics)",https://www.amazon.com/Elements-Statistical-Learning-Prediction-Statistics/dp/0387848576/ref=sr_1_68?qid=1676965004&s=books&sr=1-68,0387848576,https://www.amazon.com/dp/0387848576/
68,68,Basics of Web Design: HTML5 & CSS,https://www.amazon.com/Basics-Web-Design-HTML5-CSS/dp/0135225485/ref=sr_1_69?qid=1676965004&s=books&sr=1-69,0135225485,https://www.amazon.com/dp/0135225485/
69,69,"Learn PowerShell in a Month of Lunches, Fourth Edition: Covers Windows, Linux, and macOS",https://www.amazon.com/Learn-PowerShell-Month-Lunches-Windows/dp/1617296961/ref=sr_1_65?qid=1676965004&s=books&sr=1-65,1617296961,https://www.amazon.com/dp/1617296961/
70,70,An Introduction to Statistical Learning: with Applications in R (Springer Texts in Statistics),https://www.amazon.com/Introduction-Statistical-Learning-Applications-Statistics/dp/1071614177/ref=sr_1_66?qid=1676965004&s=books&sr=1-66,1071614177,https://www.amazon.com/dp/1071614177/
71,71,Effective Java,https://www.amazon.com/Effective-Java-Joshua-Bloch/dp/0134685997/ref=sr_1_67?qid=1676965004&s=books&sr=1-67,0134685997,https://www.amazon.com/dp/0134685997/
72,72,AWS Certified Solutions Architect Study Guide with 900 Practice Test Questions: Associate (SAA-C03) Exam,https://www.amazon.com/Certified-Solutions-Architect-Study-Guide/dp/1119982626/ref=sr_1_68?qid=1676965004&s=books&sr=1-68,1119982626,https://www.amazon.com/dp/1119982626/
